generator_id,osm_id,generator_type,name,source_layer,original_geometry_type,data_quality_flags,geometry_wkt,lon,lat
gen_0001,12172533321,bus_stop,ספיר/סקיבין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (189751.754038 677890.175522),34.88942299951178,32.19414100062981
gen_0002,12172539113,bus_stop,קניון ערים/ברל כצנלסון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191018.025076 676096.511524),34.902904999510135,32.17799900063231
gen_0003,12172539116,bus_stop,בי״ס יגאל אלון/שד׳ ששת הימים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190417.84971 675843.379355),34.89654899951019,32.17570100063215
gen_0004,12172541020,bus_stop,אנצו סירני/הכובשים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190118.454439 676253.878827),34.89336199951057,32.17939500063159
gen_0005,12172543603,bus_stop,בן גוריון/רוטשילד,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191428.431833 675500.873806),34.9072739995096,32.172638000633135
gen_0006,12172545904,bus_stop,קניון/וייצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193355.615881 675238.242946),34.927713999508754,32.1703160006346
gen_0007,12172547108,bus_stop,בן גוריון/הרצל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191759.625797 675413.024853),34.91078799950943,32.17185400063343
gen_0008,12172561601,bus_stop,וייצמן/משה דיין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192504.692516 675535.551573),34.91868399950925,32.17297700063379
gen_0009,12172561701,bus_stop,וייצמן/אלקלעי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192991.22916 675372.479163),34.92384699950897,32.17151800063425
gen_0010,12484704101,bus_stop,שדרות ששת הימים/הכלנית,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190288.707072 675867.369863),34.895178999510264,32.17591400063207
gen_0011,1802986970,bus_stop,קריית חינוך/אז״ר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191834.987333 676695.404785),34.91154999951025,32.18342000063226
gen_0012,1802986992,bus_stop,אז״ר/בר אילן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192096.809757 676635.256844),34.91432799951012,32.182884000632484
gen_0013,1802987060,bus_stop,אז״ר/משה דיין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192734.211823 676447.923704),34.921091999509756,32.181210000633065
gen_0014,1802987065,bus_stop,אז״ר/פרופ׳ דינור,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192436.632502 676541.418074),34.91793399950993,32.18204600063279
gen_0015,1802987068,bus_stop,אז״ר/תל חי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192412.478814 676537.37939),34.91767799950993,32.18200900063278
gen_0016,1802987238,bus_stop,אזור תעשיה סנטרל פארק 2000,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194153.912865 674204.369089),34.93620499950778,32.16101100063611
gen_0017,1802987264,bus_stop,אזור תעשיה סנטרל פארק 2000,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194075.314617 674233.508098),34.935370999507825,32.161272000636025
gen_0018,1802987268,bus_stop,אזור תעשיה סנטרל פארק 2000,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193958.147854 674304.883539),34.934126999507896,32.16191300063587
gen_0019,1802987271,bus_stop,אזור תעשיה סנטרל פארק 2000,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193945.307502 674300.258315),34.933990999507905,32.16187100063588
gen_0020,1802987273,bus_stop,אזור תעשיה סנטרל פארק 2000/עתיר ידע,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193638.710196 674474.690505),34.93073599950814,32.16343700063551
gen_0021,1802987276,bus_stop,אזור תעשיה סנטרל פארק 2000/עתיר ידע,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193633.311856 674466.165526),34.930678999508125,32.163360000635535
gen_0022,1802988026,bus_stop,איזור התעשיה כפר סבא,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193281.688325 676123.577391),34.92690599950934,32.17829800063373
gen_0023,1802991065,bus_stop,אנגל/לאה ודוד לונברג,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190160.590569 678009.97079),34.89375499951171,32.19523200062994
gen_0024,1802992658,bus_stop,שד׳ מנחם בגין/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191067.574308 677120.246908),34.90339999951079,32.18723200063137
gen_0025,1802992660,bus_stop,שד׳ מנחם בגין/משה סנה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190601.73218 677357.652538),34.89845299951113,32.189361000630846
gen_0026,1802993204,bus_stop,בי״ס בר לב/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192401.368962 676756.533106),34.91755399951009,32.183985000632575
gen_0027,1802993893,bus_stop,בי״ס תיכון אמנה/תל חי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191953.045689 675242.533845),34.912843599509245,32.1703213006337
gen_0028,1802996305,bus_stop,בית אבות בית בכפר הדרים/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193593.247377 676696.758705),34.930193999509626,32.18347400063339
gen_0029,1802996767,bus_stop,בי״ח מאיר/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190523.23878 676452.545646),34.89764799951055,32.18119700063167
gen_0030,1802996768,bus_stop,בי״ח מאיר/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190536.2088 676436.872768),34.89778599951055,32.18105600063167
gen_0031,1802997011,bus_stop,בית משפט/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (189986.836139 675845.508878),34.89197899951034,32.17570900063188
gen_0032,1802998071,bus_stop,בית ספר רמז/דרך אלי הורוביץ,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194446.774543 676258.589478),34.939255999509,32.17954200063435
gen_0033,1803000247,bus_stop,דרך המוביל/בקעת בית נטופה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193649.407764 676604.35303),34.93079199950953,32.18264200063351
gen_0034,1803000260,bus_stop,אצטדיון לויטה/דרך הפועל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193384.961607 676564.664156),34.92798899950961,32.182278000633374
gen_0035,1803000264,bus_stop,בן יהודה/דרך הפועל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193460.942983 676663.052774),34.92879199950965,32.18316700063334
gen_0036,1803000282,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193966.046092 676698.47669),34.93414699950949,32.183498000633634
gen_0037,1803000287,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193936.197089 676716.849006),34.9338299995095,32.18366300063359
gen_0038,1803000312,bus_stop,מרכז דוד/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194305.639763 676696.631174),34.93774799950936,32.18348900063384
gen_0039,1803000358,bus_stop,בן יהודה/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191201.403415 677057.218756),34.90482099951069,32.186667000631516
gen_0040,1803002009,bus_stop,בר אילן/נחל הדס,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191992.443303 676507.679416),34.91322499951006,32.18173100063253
gen_0041,1803002904,bus_stop,קניון ערים/ברל כצנלסון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191058.408288 676170.142164),34.90333099951017,32.17866400063225
gen_0042,1803003012,bus_stop,תיכון גלילי/אשר ברש,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191472.83649 676861.960233),34.90770499951048,32.184913000631866
gen_0043,1803003013,bus_stop,תיכון גלילי/אשר ברש,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191466.750126 676877.723813),34.90763999951051,32.18505500063185
gen_0044,1803003390,bus_stop,דוד רמז/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191172.769327 677204.786196),34.90451299951082,32.187997000631356
gen_0045,1803004989,bus_stop,ד״ר משה סנה/ברקן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190388.250181 677033.899844),34.89619899951099,32.186436000631026
gen_0046,1803004990,bus_stop,מדרשית נעם/ד״ר משה סנה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190422.97431 676876.221423),34.89657199951087,32.18501500063118
gen_0047,1803006707,bus_stop,דוד רמז/האחווה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191003.881154 677409.079849),34.90271599951101,32.18983500063105
gen_0048,1803006717,bus_stop,דוד רמז/ויתקין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190816.542332 677522.052629),34.900725999511145,32.19084900063083
gen_0049,1803006721,bus_stop,דוד רמז/ויתקין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190729.594218 677553.903036),34.899802999511216,32.19113400063074
gen_0050,1803006837,bus_stop,דוכיפת/דרך המוביל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193637.516677 676749.319965),34.93066199950964,32.183949000633355
gen_0051,1803006839,bus_stop,דרך המוביל/דוכיפת,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193645.387407 676803.415557),34.93074399950967,32.18443700063332
gen_0052,1803009762,bus_stop,דרך המוביל/העגורים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193640.057273 676932.397296),34.93068399950977,32.1856000006332
gen_0053,1803009763,bus_stop,דרך המוביל/העגורים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193653.79649 676957.978554),34.930828999509785,32.185831000633186
gen_0054,1803010017,bus_stop,דרך הפועל/דרך אלי הורוביץ,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194102.927058 675884.847863),34.9356199995089,32.17616400063449
gen_0055,1803011413,bus_stop,דרך קדומים/חטיבת הנח״ל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193991.60145 676509.895105),34.934422999509366,32.181798000633805
gen_0056,1803011422,bus_stop,דרך קדומים/חטיבת יפתח,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193864.264577 676539.158441),34.93307199950942,32.18205900063371
gen_0057,1803017776,bus_stop,מרכז פיס למדעים ואומנויות/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192679.674856 676659.5288),34.92050779950991,32.18311690063284
gen_0058,1803017983,bus_stop,בי״ס גורדון/הגליל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192461.64556 676088.576588),34.918211999509595,32.17796300063323
gen_0059,1803018044,bus_stop,הגליל/נעורים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192417.557575 675930.450135),34.91774899950953,32.176536000633355
gen_0060,1803021045,bus_stop,הזמיר/הנשר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193408.744908 676902.160373),34.92823199950982,32.18532200063308
gen_0061,1803023812,bus_stop,הכרמל/העבודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191468.694052 676146.491073),34.907681999510004,32.17846100063253
gen_0062,1803023851,bus_stop,הכרמל/משעול השיר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191832.753177 676047.907938),34.911544999509815,32.17758100063289
gen_0063,1803023855,bus_stop,הכרמל/תל חי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192102.195814 675974.43249),34.91440399950966,32.176925000633105
gen_0064,1803026473,bus_stop,מרכז דוד/הנביאים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194376.313648 676750.239132),34.93849599950938,32.183974000633846
gen_0065,1803027002,bus_stop,מרכז דוד/הנביאים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194364.580301 676772.44666),34.9383709995094,32.18417400063381
gen_0066,1803027031,bus_stop,הנביאים/ישעיהו,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194421.498693 677099.217463),34.93896599950959,32.187122000633536
gen_0067,1803027064,bus_stop,הנביאים/ישעיהו,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194402.809855 677092.388257),34.93876799950959,32.18706000063352
gen_0068,1803034417,bus_stop,השחר/השלום,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191664.77246 676354.43061),34.909754999510085,32.18034100063247
gen_0069,1803034421,bus_stop,השחר/פינס,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191711.742742 676528.292881),34.910247999510176,32.181910000632335
gen_0070,1803034624,bus_stop,דרך הפועל/דרך אלי הורוביץ,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194075.003014 675882.034455),34.93532399950892,32.176138000634474
gen_0071,1803035186,bus_stop,התע״ש/גלגלי הפלדה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193175.547801 675598.442765),34.92579499950905,32.17356000063417
gen_0072,1803035187,bus_stop,התע״ש/גלגלי הפלדה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193209.340608 675645.484643),34.92615199950907,32.17398500063414
gen_0073,1803035190,bus_stop,ויצמן/התע״ש,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193063.596573 675309.414704),34.92461599950888,32.17095100063435
gen_0074,1803035191,bus_stop,התע״ש/יד חרוצים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193348.865236 676060.639147),34.92761999950929,32.17773200063382
gen_0075,1803035192,bus_stop,התע״ש/יד חרוצים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193355.058173 676048.314142),34.92768599950928,32.177621000633856
gen_0076,1803035194,bus_stop,התע״ש/יוחנן הסנדלר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193259.225117 675788.185343),34.926676999509134,32.17527300063403
gen_0077,1803035196,bus_stop,התע״ש/יוחנן הסנדלר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193294.397912 675858.733166),34.92704799950918,32.17591000063399
gen_0078,1803035364,bus_stop,קניון ערים/וייצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191105.42266 675927.033485),34.90383669950999,32.176472900632525
gen_0079,1803035371,bus_stop,ביטוח לאומי/ויצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190772.766542 676013.588581),34.900306999510164,32.177245000632226
gen_0080,1803035373,bus_stop,וייצמן/גורדון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190716.258823 676008.647382),34.899707999510184,32.1771990006322
gen_0081,1803035375,bus_stop,וייצמן/נורדאו,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192658.481379 675483.468453),34.92031599950914,32.17251100063394
gen_0082,1803035397,bus_stop,וייצמן/התע״ש,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192988.334781 675383.797744),34.92381599950897,32.171620000634235
gen_0083,1803035405,bus_stop,וייצמן/המעפילים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190606.057989 676059.970781),34.89853799951027,32.177659000632076
gen_0084,1803035410,bus_stop,וייצמן/ירושלים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191343.115902 675856.520915),34.90635899950987,32.17584300063274
gen_0085,1803035432,bus_stop,קניון ערים/וייצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191032.001108 675924.388912),34.90305829951002,32.17644720063248
gen_0086,1803035445,bus_stop,וייצמן/רוטשילד,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191641.723621 675759.332385),34.9095278995097,32.17497400063303
gen_0087,1803035446,bus_stop,וייצמן/רוטשילד,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191659.688426 675772.257614),34.9097179995097,32.17509100063302
gen_0088,1803035458,bus_stop,תחנה מרכזית כפ״ס/ויצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192141.478386 675641.870502),34.91482999950944,32.173927000633476
gen_0089,1803035484,bus_stop,ויצמן/זאב גלר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190477.085734 676076.7504),34.89716999951032,32.177807000631965
gen_0090,1803035487,bus_stop,תחנה מרכזית כפ״ס/ויצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192132.1781 675620.60415),34.914731999509435,32.173735000633485
gen_0091,1803035510,bus_stop,ויצמן/גייסות השריון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192650.515352 675502.784791),34.92023099950918,32.172685000633926
gen_0092,1803035522,bus_stop,קניון ג׳י/וייצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193163.616508 675288.861821),34.92567699950885,32.17076800063445
gen_0093,1803035562,bus_stop,ויצמן/ירושלים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191352.211273 675837.322369),34.906455999509845,32.17567010063274
gen_0094,1803036303,bus_stop,זמיר/הנשר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193377.572835 676808.75791),34.92790399950976,32.18447900063313
gen_0095,1803036325,bus_stop,זמיר/נחליאלי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193422.922636 677024.882212),34.92837899950991,32.18642900063296
gen_0096,1803036990,bus_stop,בי״ס הדמוקרטי/תרי עשר,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194131.163923 677486.510023),34.935876999509944,32.190608000632984
gen_0097,1803040828,bus_stop,טירת צבי/הגליל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192424.292358 676405.163774),34.91780699950985,32.180817000632935
gen_0098,1803041723,bus_stop,טשרניחובסקי/שד׳ מנחם בגין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191069.89737 677040.508361),34.90342699951075,32.18651300063145
gen_0099,1803041729,bus_stop,טשרניחובסקי/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191099.221596 677038.984741),34.903737999510746,32.18650000063146
gen_0100,1803041738,bus_stop,מכבי אש/טשרניחובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190358.629888 676274.478728),34.89590799951049,32.1795870006317
gen_0101,1803041780,bus_stop,טשרניחובסקי/ויצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190196.869839 676072.453386),34.89419899951044,32.177761000631804
gen_0102,1803041782,bus_stop,טשרניחובסקי/ויצמן,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190182.769403 676088.573522),34.894048999510424,32.17790600063178
gen_0103,1803041832,bus_stop,טשרניחובסקי/כנפי נשרים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191328.869409 677317.57389),34.90616499951083,32.18901800063134
gen_0104,1803041839,bus_stop,טשרניחובסקי/כנפי נשרים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (191316.384356 677338.123719),34.906031999510844,32.18920300063131
gen_0105,1803041861,bus_stop,טשרניחובסקי/סמילנסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190805.52112 676724.873927),34.90063299951063,32.183660000631576
gen_0106,1803041865,bus_stop,טשרניחובסקי/לילנבלום,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190663.23746 676600.85483),34.8991279995106,32.18253800063159
gen_0107,1803042067,bus_stop,יבנה/חברון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192177.84532 676399.169743),34.91519399950993,32.18075700063276
gen_0108,1803046457,bus_stop,ישעיהו/בת יפתח,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194293.212496 677427.555379),34.93759699950985,32.190080000633145
gen_0109,1803046507,bus_stop,משה דיין/רעם,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192598.944718 675653.402336),34.91967999950927,32.174042000633726
gen_0110,1803047092,bus_stop,קניון ג׳י/כביש 55,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193493.207148 675266.500354),34.92917199950872,32.170574000634694
gen_0111,1803049106,bus_stop,אנגל/אנצ׳יקובסקי,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190155.258728 678282.650494),34.89369009951189,32.19769080062969
gen_0112,1803049524,bus_stop,מרכז גלר/לוי אשכול,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194542.37015 676551.443238),34.94026199950918,32.182185000634135
gen_0113,1803049529,bus_stop,מרכז גלר/לוי אשכול,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (194485.077368 676570.324915),34.939653999509225,32.18235400063406
gen_0114,1803054428,bus_stop,מטווח עירוני/בן יהודה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192910.481792 676666.584993),34.922954999509834,32.18318600063298
gen_0115,1803054559,bus_stop,טשרניחובסקי/גולומב,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190352.153026 676239.111372),34.89584039951047,32.17926790063174
gen_0116,1803061484,bus_stop,מרכז מסחרי/רמז,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190937.658195 677467.595562),34.90201199951108,32.190361000630965
gen_0117,1803062397,bus_stop,זמנהוף/משה דיין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192665.523731 676078.943114),34.920373999509536,32.17788100063337
gen_0118,1803062453,bus_stop,מדרשית נעם/ד״ר משה סנה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190382.21508 676902.398006),34.8961389995109,32.18525000063114
gen_0119,1803062458,bus_stop,בי״ח מאיר/ד״ר משה סנה,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190558.615035 676654.824456),34.89801699951068,32.18302200063148
gen_0120,1803063341,bus_stop,כביש 55/דרך המוביל,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193663.721585 675482.860379),34.93097399950878,32.17252900063457
gen_0121,1803063581,bus_stop,נורדאו/רופין,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192501.080306 675240.80876),34.91865399950905,32.170319000634066
gen_0122,1803063627,bus_stop,נורדאו/שועלי שמשון,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (192516.61849 675338.131158),34.91881599950911,32.17119700063397
gen_0123,1803064319,bus_stop,נחליאלי/עפרוני,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (193545.572716 677083.452245),34.9296779995099,32.186960000632986
gen_0124,1803064883,bus_stop,סוקולוב/שד׳ ששת הימים,gis_osm_transport_free_1,Point,"[""pilot_boundary_osm_geofabrik_not_official""]",POINT (190955.092739 675751.478788),34.902247999509925,32.17488600063258
